Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note,Country
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1982,1982,ha,176880.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1983,1983,ha,184260.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1984,1984,ha,161260.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1985,1985,ha,162740.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1986,1986,ha,164630.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1987,1987,ha,161680.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1988,1988,ha,161150.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1989,1989,ha,161500.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1990,1990,ha,170170.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1991,1991,ha,164520.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1992,1992,ha,164290.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1993,1993,ha,161380.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1994,1994,ha,161260.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1995,1995,ha,160780.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1996,1996,ha,165040.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1997,1997,ha,162840.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1998,1998,ha,165260.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,1999,1999,ha,165600.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,2000,2000,ha,168080.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,2001,2001,ha,177220.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,2002,2002,ha,190550.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,2003,2003,ha,209730.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,2004,2004,ha,226337.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,2005,2005,ha,239352.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,2006,2006,ha,263352.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,2007,2007,ha,276253.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,2008,2008,ha,282460.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,2009,2009,ha,288442.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,2010,2010,ha,294200.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,2011,2011,ha,311930.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,2012,2012,ha,328884.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,2013,2013,ha,348196.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,2014,2014,ha,383443.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,2015,2015,ha,406571.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,2016,2016,ha,423683.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,2017,2017,ha,432959.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,2018,2018,ha,431009.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,2019,2019,ha,431506.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,2020,2020,ha,438828.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,2021,2021,ha,440008.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,2022,2022,ha,470759.0,I,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,2023,2023,ha,486141.0,I,,Algeria
4,'012,Algeria,260,'01450,Olives,5312,Area harvested,2024,2024,ha,474116.0,I,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1969,1969,kg/ha,1222.5,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1970,1970,kg/ha,1391.9,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1971,1971,kg/ha,1341.7,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1972,1972,kg/ha,1172.6,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1973,1973,kg/ha,787.8,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1974,1974,kg/ha,1040.2,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1975,1975,kg/ha,1121.4,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1976,1976,kg/ha,1200.6,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1977,1977,kg/ha,696.7,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1978,1978,kg/ha,516.4,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1979,1979,kg/ha,861.3,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1980,1980,kg/ha,576.1,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1981,1981,kg/ha,1212.3,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1982,1982,kg/ha,810.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1983,1983,kg/ha,734.4,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1984,1984,kg/ha,632.7,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1985,1985,kg/ha,978.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1986,1986,kg/ha,1224.7,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1987,1987,kg/ha,1040.2,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1988,1988,kg/ha,886.7,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1989,1989,kg/ha,572.5,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1990,1990,kg/ha,1045.5,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1991,1991,kg/ha,533.3,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1992,1992,kg/ha,1616.2,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1993,1993,kg/ha,1276.9,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1994,1994,kg/ha,1056.4,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1995,1995,kg/ha,814.6,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1996,1996,kg/ha,1898.5,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1997,1997,kg/ha,1961.9,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1998,1998,kg/ha,750.7,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,1999,1999,kg/ha,2194.3,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,2000,2000,kg/ha,1291.7,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,2001,2001,kg/ha,1130.5,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,2002,2002,kg/ha,1007.2,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,2003,2003,kg/ha,799.3,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,2004,2004,kg/ha,2071.2,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,2005,2005,kg/ha,1322.3,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,2006,2006,kg/ha,1005.2,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,2007,2007,kg/ha,756.4,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,2008,2008,kg/ha,899.5,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,2009,2009,kg/ha,1647.4,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,2010,2010,kg/ha,1058.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,2011,2011,kg/ha,1958.1,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,2012,2012,kg/ha,1197.5,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,2013,2013,kg/ha,1662.1,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,2014,2014,kg/ha,1259.3,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,2015,2015,kg/ha,1607.9,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,2016,2016,kg/ha,1643.8,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,2017,2017,kg/ha,1580.9,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,2018,2018,kg/ha,1997.1,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,2019,2019,kg/ha,2013.3,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,2020,2020,kg/ha,2460.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,2021,2021,kg/ha,1601.4,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,2022,2022,kg/ha,1807.4,E,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,2023,2023,kg/ha,1878.8,E,,Algeria
4,'012,Algeria,260,'01450,Olives,5412,Yield,2024,2024,kg/ha,1926.2,E,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1961,1961,t,160000.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1962,1962,t,143000.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1963,1963,t,148300.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1964,1964,t,148559.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1965,1965,t,153169.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1966,1966,t,143030.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1967,1967,t,138189.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1968,1968,t,171639.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1969,1969,t,118902.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1970,1970,t,137571.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1971,1971,t,167836.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1972,1972,t,171550.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1973,1973,t,119061.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1974,1974,t,172896.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1975,1975,t,197267.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1976,1976,t,221015.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1977,1977,t,116363.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1978,1978,t,88414.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1979,1979,t,156920.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1980,1980,t,103431.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1981,1981,t,213812.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1982,1982,t,143265.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1983,1983,t,135317.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1984,1984,t,102031.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1985,1985,t,159155.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1986,1986,t,201625.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1987,1987,t,168172.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1988,1988,t,142892.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1989,1989,t,92453.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1990,1990,t,177907.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1991,1991,t,87736.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1992,1992,t,265520.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1993,1993,t,206073.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1994,1994,t,170360.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1995,1995,t,130964.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1996,1996,t,313334.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1997,1997,t,319474.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1998,1998,t,124060.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,1999,1999,t,363381.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,2000,2000,t,217112.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,2001,2001,t,200339.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,2002,2002,t,191926.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,2003,2003,t,167627.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,2004,2004,t,468800.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,2005,2005,t,316489.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,2006,2006,t,264733.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,2007,2007,t,208952.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,2008,2008,t,254067.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,2009,2009,t,475182.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,2010,2010,t,311252.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,2011,2011,t,610776.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,2012,2012,t,393840.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,2013,2013,t,578740.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,2014,2014,t,482860.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,2015,2015,t,653725.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,2016,2016,t,696431.48,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,2017,2017,t,684460.56,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,2018,2018,t,860784.44,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,2019,2019,t,868754.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,2020,2020,t,1079508.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,2021,2021,t,704619.0,A,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,2022,2022,t,850868.13,I,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,2023,2023,t,913339.99,I,,Algeria
4,'012,Algeria,260,'01450,Olives,5510,Production,2024,2024,t,913242.78,I,,Algeria
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1961,1961,ha,2800.0,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1962,1962,ha,4000.0,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1963,1963,ha,2700.0,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1964,1964,ha,3500.0,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1965,1965,ha,3500.0,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1966,1966,ha,2300.0,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1967,1967,ha,3700.0,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1968,1968,ha,2500.0,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1969,1969,ha,2500.0,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1970,1970,ha,2300.0,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1971,1971,ha,2000.0,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1972,1972,ha,2500.0,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1973,1973,ha,2500.0,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1974,1974,ha,2500.0,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1975,1975,ha,2500.0,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1976,1976,ha,2700.0,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1977,1977,ha,1680.0,X,Unofficial figure,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1978,1978,ha,1660.0,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1979,1979,ha,1699.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1980,1980,ha,2152.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1981,1981,ha,2226.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1982,1982,ha,2300.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1983,1983,ha,2500.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1984,1984,ha,2520.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1985,1985,ha,2520.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1986,1986,ha,7980.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1987,1987,ha,9660.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1988,1988,ha,9240.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1989,1989,ha,9660.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1990,1990,ha,9050.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1991,1991,ha,10700.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1992,1992,ha,22683.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1993,1993,ha,26805.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1994,1994,ha,20121.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1995,1995,ha,22076.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1996,1996,ha,23445.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1997,1997,ha,24000.0,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1998,1998,ha,25000.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,1999,1999,ha,43669.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,2000,2000,ha,45513.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,2001,2001,ha,47519.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,2002,2002,ha,49532.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,2003,2003,ha,49873.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,2004,2004,ha,49086.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,2005,2005,ha,49000.0,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,2006,2006,ha,49000.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,2007,2007,ha,46540.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,2008,2008,ha,46200.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,2009,2009,ha,46274.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,2010,2010,ha,50161.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,2011,2011,ha,52668.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,2012,2012,ha,57551.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,2013,2013,ha,61711.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,2014,2014,ha,60837.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,2015,2015,ha,69707.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,2016,2016,ha,78968.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,2017,2017,ha,91826.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,2018,2018,ha,89955.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,2019,2019,ha,103000.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,2020,2020,ha,101000.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,2021,2021,ha,108360.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,2022,2022,ha,112657.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,2023,2023,ha,116687.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5312,Area harvested,2024,2024,ha,117744.0,I,,Egypt
59,'818,Egypt,260,'01450,Olives,5412,Yield,1961,1961,kg/ha,3058.6,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5412,Yield,1962,1962,kg/ha,2931.3,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5412,Yield,1963,1963,kg/ha,2890.7,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5412,Yield,1964,1964,kg/ha,2951.1,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5412,Yield,1965,1965,kg/ha,2962.9,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5412,Yield,1966,1966,kg/ha,3022.6,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5412,Yield,1967,1967,kg/ha,2973.0,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5412,Yield,1968,1968,kg/ha,3200.0,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5412,Yield,1969,1969,kg/ha,3200.0,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5412,Yield,1970,1970,kg/ha,3043.5,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5412,Yield,1971,1971,kg/ha,2937.5,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5412,Yield,1972,1972,kg/ha,3200.0,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5412,Yield,1973,1973,kg/ha,3200.0,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5412,Yield,1974,1974,kg/ha,3200.0,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5412,Yield,1975,1975,kg/ha,3200.0,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5412,Yield,1976,1976,kg/ha,2821.1,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5412,Yield,1977,1977,kg/ha,3272.6,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5412,Yield,1978,1978,kg/ha,3367.5,E,,Egypt
59,'818,Egypt,260,'01450,Olives,5412,Yield,1979,1979,kg/ha,3595.1,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5412,Yield,1980,1980,kg/ha,1947.5,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5412,Yield,1981,1981,kg/ha,2424.1,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5412,Yield,1982,1982,kg/ha,3304.3,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5412,Yield,1983,1983,kg/ha,3600.0,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5412,Yield,1984,1984,kg/ha,3174.6,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5412,Yield,1985,1985,kg/ha,3571.4,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5412,Yield,1986,1986,kg/ha,3383.5,A,,Egypt
59,'818,Egypt,260,'01450,Olives,5412,Yield,1987,1987,kg/ha,3002.1,A,,Egypt
